score,tag,class,name,id,href,alt,type,aria-label,xpath.chrome,xpath.idxpath,isButton,location,dimension,visible_text,neighbour_text,attributes
356980.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.0,0.1,1.2,0.35,2.8,1.45,1.8,3
356260.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.0,0.1,1.2,0.0,2.8,1.45,1.8,4
357076.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.0,0.0,1.2,0.35,2.8,1.45,1.8,4
356356.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.0,0.0,1.2,0.0,2.8,1.45,1.8,5
356700.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.45,0.1,1.2,0.35,2.8,1.45,1.8,3
356028.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.45,0.1,1.2,0.0,2.8,1.45,1.8,4
356796.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.45,0.0,1.2,0.35,2.8,1.45,1.8,4
356124.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.45,0.0,1.2,0.0,2.8,1.45,1.8,5
356820.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.0,0.1,1.2,0.35,2.8,1.45,1.8,4
356260.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.0,0.1,1.2,0.0,2.8,1.45,1.8,5
356988.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.0,0.0,1.2,0.35,2.8,1.45,1.8,5
356356.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.0,0.0,1.2,0.0,2.8,1.45,1.8,6
356520.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.45,0.1,1.2,0.35,2.8,1.45,1.8,3
356040.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.45,0.1,1.2,0.0,2.8,1.45,1.8,4
356616.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.45,0.0,1.2,0.35,2.8,1.45,1.8,4
356136.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.45,0.0,1.2,0.0,2.8,1.45,1.8,5
356320.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.0,0.1,1.2,0.35,2.8,1.45,1.8,4
355696.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.0,0.1,1.2,0.0,2.8,1.45,1.8,5
356416.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.0,0.0,1.2,0.35,2.8,1.45,1.8,5
355792.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.0,0.0,1.2,0.0,2.8,1.45,1.8,6
356424.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.45,0.1,1.2,0.35,2.8,1.45,1.8,4
356040.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.45,0.1,1.2,0.0,2.8,1.45,1.8,5
356520.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.45,0.0,1.2,0.35,2.8,1.45,1.8,5
356136.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.45,0.0,1.2,0.0,2.8,1.45,1.8,6
356160.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.0,0.1,1.2,0.35,2.8,1.45,1.8,5
355696.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.0,0.1,1.2,0.0,2.8,1.45,1.8,6
356328.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.0,0.0,1.2,0.35,2.8,1.45,1.8,6
355792.0,0.8,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.0,0.0,1.2,0.0,2.8,1.45,1.8,7
358532.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.2,0.35,2.8,1.45,1.8,2
357644.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.2,0.0,2.8,1.45,1.8,3
358628.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.1,0.45,0.0,1.2,0.35,2.8,1.45,1.8,3
357740.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.1,0.45,0.0,1.2,0.0,2.8,1.45,1.8,4
358212.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.1,0.0,0.1,1.2,0.35,2.8,1.45,1.8,3
357492.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.1,0.0,0.1,1.2,0.0,2.8,1.45,1.8,4
358260.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.1,0.0,0.0,1.2,0.35,2.8,1.45,1.8,4
357540.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.1,0.0,0.0,1.2,0.0,2.8,1.45,1.8,5
358436.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.0,0.45,0.1,1.2,0.35,2.8,1.45,1.8,3
